event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps
1767534732986_layering_cluster_116176,2026-01-04T13:52:12.986000+00:00,1767534732986,Jan-1-31,layering_cluster,116176,TP,0.7,Suspicious: dense cluster of 17 trades,,,,,59.344,,,,,0.010961
1767543166142_layering_cluster_139930,2026-01-04T16:12:46.142000+00:00,1767543166142,Jan-1-31,layering_cluster,139930,TP,0.8,Suspicious: 126 trades at sub-tick level (layering),,,,,56.651,,,,,0.021911
1767550506819_layering_cluster_154703,2026-01-04T18:15:06.819000+00:00,1767550506819,Jan-1-31,layering_cluster,154703,TP,0.8,Suspicious: 35 trades at sub-tick level (layering),,,,,58.592,,,,,0.01096
1767560271089_layering_cluster_180657,2026-01-04T20:57:51.089000+00:00,1767560271089,Jan-1-31,layering_cluster,180657,TP,0.7,Suspicious: dense cluster of 18 trades,,,,,58.333,,,,,0.010951
1767565598467_layering_cluster_193142,2026-01-04T22:26:38.467000+00:00,1767565598467,Jan-1-31,layering_cluster,193142,TP,0.7,Borderline but tight range (0.0110bps) = likely layering,,,,,56.451,,,,,0.010961
1767674870242_layering_cluster_407232,2026-01-06T04:47:50.242000+00:00,1767674870242,Jan-1-31,layering_cluster,407232,TP,0.8,Suspicious: 120 trades at sub-tick level (layering),,,,,59.228,,,,,0.010659
1767934806170_layering_cluster_72,2026-01-09T05:00:06.170000+00:00,1767934806170,Jan-1-31,layering_cluster,72,TP,0.8,Suspicious: 72 trades at sub-tick level (layering),,,,,12.6,,,,,0.010987
1768000431318_layering_cluster_213112,2026-01-09T23:13:51.318000+00:00,1768000431318,Jan-1-31,layering_cluster,213112,TP,0.7,Suspicious: dense cluster of 18 trades,,,,,59.158,,,,,0.011026
1768002541548_layering_cluster_217002,2026-01-09T23:49:01.548000+00:00,1768002541548,Jan-1-31,layering_cluster,217002,TP,0.8,Suspicious: 47 trades at sub-tick level (layering),,,,,59.054,,,,,0.011028
1768006821338_layering_cluster_226068,2026-01-10T01:00:21.338000+00:00,1768006821338,Jan-1-31,layering_cluster,226068,TP,0.8,Suspicious: 197 trades at sub-tick level (layering),,,,,59.629,,,,,0.011038
1768013657001_layering_cluster_240039,2026-01-10T02:54:17.001000+00:00,1768013657001,Jan-1-31,layering_cluster,240039,TP,0.7,Suspicious: dense cluster of 24 trades,,,,,59.682,,,,,0.011031
1768016934318_layering_cluster_246125,2026-01-10T03:48:54.318000+00:00,1768016934318,Jan-1-31,layering_cluster,246125,TP,0.8,Suspicious: 116 trades at sub-tick level (layering),,,,,59.2,,,,,0.011039
1768036336929_layering_cluster_37533,2026-01-10T09:12:16.929000+00:00,1768036336929,Jan-1-31,layering_cluster,37533,TP,0.75,Suspicious: 29 trades in 0.011bps range,,,,,55.891,,,,,0.011032
1768036492568_layering_cluster_37706,2026-01-10T09:14:52.568000+00:00,1768036492568,Jan-1-31,layering_cluster,37706,TP,0.8,Suspicious: 76 trades at sub-tick level (layering),,,,,54.574,,,,,0.011032
1768037760307_layering_cluster_39100,2026-01-10T09:36:00.307000+00:00,1768037760307,Jan-1-31,layering_cluster,39100,TP,0.8,Suspicious: 118 trades at sub-tick level (layering),,,,,57.689,,,,,0.011034
1768049923121_layering_cluster_63239,2026-01-10T12:58:43.121000+00:00,1768049923121,Jan-1-31,layering_cluster,63239,TP,0.75,Suspicious: 25 trades in 0.011bps range,,,,,59.788,,,,,0.011024
1768050093320_layering_cluster_63766,2026-01-10T13:01:33.320000+00:00,1768050093320,Jan-1-31,layering_cluster,63766,TP,0.8,Suspicious: 120 trades at sub-tick level (layering),,,,,58.182,,,,,0.011022
1768052989752_layering_cluster_67608,2026-01-10T13:49:49.752000+00:00,1768052989752,Jan-1-31,layering_cluster,67608,TP,0.8,Suspicious: 37 trades at sub-tick level (layering),,,,,59.033,,,,,0.011025
1768053622170_layering_cluster_69110,2026-01-10T14:00:22.170000+00:00,1768053622170,Jan-1-31,layering_cluster,69110,TP,0.8,Suspicious: 211 trades at sub-tick level (layering),,,,,59.513,,,,,0.011031
1768062491127_layering_cluster_83943,2026-01-10T16:28:11.127000+00:00,1768062491127,Jan-1-31,layering_cluster,83943,TP,0.8,Suspicious: 49 trades at sub-tick level (layering),,,,,58.51,,,,,0.011033
1768062551234_layering_cluster_83992,2026-01-10T16:29:11.234000+00:00,1768062551234,Jan-1-31,layering_cluster,83992,TP,0.8,Suspicious: 49 trades at sub-tick level (layering),,,,,59.98,,,,,0.011033
1768062941372_layering_cluster_84877,2026-01-10T16:35:41.372000+00:00,1768062941372,Jan-1-31,layering_cluster,84877,TP,0.8,Suspicious: 36 trades at sub-tick level (layering),,,,,59.306,,,,,0.011032
1768070264898_layering_cluster_94477,2026-01-10T18:37:44.898000+00:00,1768070264898,Jan-1-31,layering_cluster,94477,TP,0.8,Suspicious: 118 trades at sub-tick level (layering),,,,,58.18,,,,,0.01104
1768071649347_layering_cluster_95779,2026-01-10T19:00:49.347000+00:00,1768071649347,Jan-1-31,layering_cluster,95779,TP,0.8,Suspicious: 253 trades at sub-tick level (layering),,,,,59.207,,,,,0.011038
1768077853937_layering_cluster_101020,2026-01-10T20:44:13.937000+00:00,1768077853937,Jan-1-31,layering_cluster,101020,TP,0.7,Suspicious: dense cluster of 16 trades,,,,,56.162,,,,,0.01104
