timestamp_iso_utc,timestamp_ms,day,detector,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart
2026-02-04T05:04:15.107000+00:00,1770181455107,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (74ms) + similar amount = wash,74,,0.33988,4
2026-02-04T05:05:18.041000+00:00,1770181518041,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (537ms) = wash (user-learned),537,,0.013075,3
2026-02-04T05:06:05.409000+00:00,1770181565409,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1081ms) = wash (user-learned),1081,0.8229,0.627931,3
2026-02-04T05:06:57.655000+00:00,1770181617655,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2227ms) = wash (user-learned),2227,0.9841,0.013075,5
2026-02-04T05:07:38.255000+00:00,1770181658255,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (541ms) = wash (user-learned),541,0.457,0.196148,3
2026-02-04T05:07:45.785000+00:00,1770181665785,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (38ms) + similar amount = wash,38,0.457,0.130786,4
2026-02-04T05:07:47.320000+00:00,1770181667320,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1535ms) = wash (user-learned),1535,0.457,0.261578,3
2026-02-04T05:07:48.303000+00:00,1770181668303,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (105ms) = wash (user-learned),105,,0.130817,5
2026-02-04T05:08:50.333000+00:00,1770181730333,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2892ms) = wash (user-learned),2892,0.139,0.013084,5
2026-02-04T05:10:09.377000+00:00,1770181809377,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1160ms) = wash (user-learned),1160,,0.013079,3
2026-02-04T05:10:10.764000+00:00,1770181810764,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1387ms) = wash (user-learned),1387,0.457,0.902392,5
2026-02-04T05:10:44.157000+00:00,1770181844157,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2768ms) = wash (user-learned),2768,0.0765,0.013071,3
2026-02-04T05:10:49.990000+00:00,1770181849990,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2654ms) = wash (user-learned),2654,0.6667,0.18303,2
2026-02-04T05:11:00.974000+00:00,1770181860974,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (87ms) + similar amount = wash,87,0.9901,0.06533,5
2026-02-04T05:11:06.324000+00:00,1770181866324,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (424ms) = wash (user-learned),424,0.5331,0.052291,3
2026-02-04T05:11:06.891000+00:00,1770181866891,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (991ms) = wash (user-learned),991,0.457,0.052291,4
