alert_id,detector,verdict,source,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_sec,notional_usd,balance_ratio,created_at
mirror_reversal_1765171669157_auto,mirror_reversal,FP,auto:obvious,3099.0,0.005011,0.010948,4.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765193799025_auto,mirror_reversal,FP,auto:obvious,3103.0,0.00138,0.010874,5.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765194064532_auto,mirror_reversal,FP,auto:obvious,3106.0,0.009115,0.010872,2.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765210450406_auto,mirror_reversal,FP,auto:obvious,3111.0,0.000948,0.011106,5.0,,,,"2026-02-17 23:00:10"
mirror_reversal_1765182562431_auto,mirror_reversal,FP,auto:obvious,3112.0,0.000936,0.010905,1.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765238733626_auto,mirror_reversal,FP,auto:obvious,3113.0,0.000982,0.011027,1.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765177005935_auto,mirror_reversal,FP,auto:obvious,3118.0,0.00099,0.010924,3.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765240638935_auto,mirror_reversal,FP,auto:obvious,3118.0,0.000181,0.574298,4.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765243519908_auto,mirror_reversal,FP,auto:obvious,3120.0,0.0,0.044201,3.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765243519908_auto,mirror_reversal,FP,auto:obvious,3120.0,0.0,0.066301,2.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765243519908_auto,mirror_reversal,FP,auto:obvious,3120.0,0.0,0.088401,1.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765182182418_auto,mirror_reversal,FP,auto:obvious,3123.0,0.0,0.207209,4.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765223608589_auto,mirror_reversal,FP,auto:obvious,3124.0,0.000903,0.011073,3.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765176902567_auto,mirror_reversal,FP,auto:obvious,3135.0,0.001063,0.01092,4.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765236185659_auto,mirror_reversal,FP,auto:obvious,3137.0,0.002629,0.011033,2.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765244382826_auto,mirror_reversal,FP,auto:obvious,3137.0,0.000995,0.011088,1.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765193595992_auto,mirror_reversal,FP,auto:obvious,3138.0,0.000951,0.010883,5.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765195386467_auto,mirror_reversal,FP,auto:obvious,3140.0,0.001011,0.511422,5.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765243519928_auto,mirror_reversal,FP,auto:obvious,3140.0,2.2e-05,0.066301,5.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765243519928_auto,mirror_reversal,FP,auto:obvious,3140.0,2.2e-05,0.088401,4.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765243519928_auto,mirror_reversal,FP,auto:obvious,3140.0,2.2e-05,0.110502,3.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765243519928_auto,mirror_reversal,FP,auto:obvious,3140.0,2.2e-05,0.110502,5.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765243519928_auto,mirror_reversal,FP,auto:obvious,3140.0,2.2e-05,0.132602,4.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765243519928_auto,mirror_reversal,FP,auto:obvious,3140.0,2.2e-05,0.154703,5.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765212145429_auto,mirror_reversal,FP,auto:obvious,3154.0,0.001063,0.442938,4.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765184261579_auto,mirror_reversal,FP,auto:obvious,3156.0,0.003757,0.010892,2.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765191376386_auto,mirror_reversal,FP,auto:obvious,3162.0,0.009037,0.010853,2.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765185902838_auto,mirror_reversal,FP,auto:obvious,3163.0,0.000952,0.010871,2.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765201192550_auto,mirror_reversal,FP,auto:obvious,3168.0,0.0,0.152888,5.0,,,,"2026-02-17 23:00:09"
