db_file,day,status,schema_passed,reason,run_dir,input_rows,output_rows,skipped_rows,alert_count,risk_score,risk_level,normalized_kept
btcusdt_20260206.db,20260206,FAIL,False,SQLite read error while validating schema: database disk image is malformed,,0,0,0,0,0,UNKNOWN,True
btcusdt_20260205.db,20260205,PASS,True,,/home/bigdan7/Projects/wash_detector/artifacts/batch_recent7/runs/btcusdt_20260205,625923,625923,0,4681,80,CRITICAL,False
btcusdt_20260204.db,20260204,PASS,True,,/home/bigdan7/Projects/wash_detector/artifacts/batch_recent7/runs/btcusdt_20260204,498426,498426,0,3859,84,CRITICAL,False
btcusdt_20260203.db,20260203,PASS,True,,/home/bigdan7/Projects/wash_detector/artifacts/batch_recent7/runs/btcusdt_20260203,422777,422777,0,2813,80,CRITICAL,False
btcusdt_20260202.db,20260202,PASS,True,,/home/bigdan7/Projects/wash_detector/artifacts/batch_recent7/runs/btcusdt_20260202,466869,466869,0,3051,79,CRITICAL,False
btcusdt_20260201.db,20260201,PASS,True,,/home/bigdan7/Projects/wash_detector/artifacts/batch_recent7/runs/btcusdt_20260201,459394,459394,0,3183,82,CRITICAL,False
btcusdt_20260131.db,20260131,PASS,True,,/home/bigdan7/Projects/wash_detector/artifacts/batch_recent7/runs/btcusdt_20260131,436348,436348,0,3137,86,CRITICAL,False
