event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps,amount_missing,reason_mentions_amount,amount_claimed_but_missing,reason_mentions_same_price,same_price_claim_but_large_diff,is_dup_key,review_verdict,review_notes
1768027048332_mirror_reversal_10372_10374,2026-01-10T06:37:28.332000+00:00,1768027048332,Jan-1-31,mirror_reversal,10372_10374,FP,0.9,Slow (3.2s) = normal (user-learned),3212.0,0.1677,0.011044,2.0,,,,,,,False,False,False,False,False,False,,
1768810029328_mirror_reversal_52995_52998,2026-01-19T08:07:09.328000+00:00,1768810029328,Jan-1-31,mirror_reversal,52995_52998,FP,0.9,Slow (3.2s) = normal (user-learned),3212.0,0.0689,0.010782,3.0,,,,,,,False,False,False,False,False,False,,
1769807660146_mirror_reversal_329166_329171,2026-01-30T21:14:20.146000+00:00,1769807660146,Jan-1-31,mirror_reversal,329166_329171,FP,0.9,Slow (3.0s) = normal (user-learned),3040.0,0.0999,0.618802,5.0,,,,,,,False,False,False,False,False,False,,
1769637663517_mirror_reversal_269507_269511,2026-01-28T22:01:03.517000+00:00,1769637663517,Jan-1-31,mirror_reversal,269507_269511,FP,0.9,Slow (3.2s) = normal (user-learned),3250.0,0.0033,0.257181,4.0,,,,,,,False,False,False,False,False,False,,
1769133478428_mirror_reversal_309382_309384,2026-01-23T01:57:58.428000+00:00,1769133478428,Jan-1-31,mirror_reversal,309382_309384,FP,0.9,Slow (3.4s) = normal (user-learned),3372.0,0.1199,0.011123,2.0,,,,,,,False,False,False,False,False,False,,
1769325179909_mirror_reversal_17883_17888,2026-01-25T07:12:59.909000+00:00,1769325179909,Jan-1-31,mirror_reversal,17883_17888,FP,0.9,Slow (3.1s) = normal (user-learned),3051.0,0.1007,0.011264,5.0,,,,,,,False,False,False,False,False,False,,
1767269878487_mirror_reversal_37196_37197,2026-01-01T12:17:58.487000+00:00,1767269878487,Jan-1-31,mirror_reversal,37196_37197,FP,0.9,Slow (3.3s) = normal (user-learned),3335.0,0.0985,0.011364,1.0,,,,,,,False,False,False,False,False,False,,
1769159965411_mirror_reversal_73374_73378,2026-01-23T09:19:25.411000+00:00,1769159965411,Jan-1-31,mirror_reversal,73374_73378,FP,0.9,Slow (3.2s) = normal (user-learned),3185.0,0.1092,0.011217,4.0,,,,,,,False,False,False,False,False,False,,
1767608123919_mirror_reversal_74653_74658,2026-01-05T10:15:23.919000+00:00,1767608123919,Jan-1-31,mirror_reversal,74653_74658,FP,0.9,Slow (3.3s) = normal (user-learned),3283.0,0.0,0.0538,5.0,,,,,,,False,False,False,False,False,False,,
1768551817275_mirror_reversal_49802_49807,2026-01-16T08:23:37.275000+00:00,1768551817275,Jan-1-31,mirror_reversal,49802_49807,FP,0.9,Slow (3.1s) = normal (user-learned),3098.0,0.3908,0.010446,5.0,,,,,,,False,False,False,False,False,False,,
1769418490667_mirror_reversal_48925_48930,2026-01-26T09:08:10.667000+00:00,1769418490667,Jan-1-31,mirror_reversal,48925_48930,FP,0.9,Slow (3.2s) = normal (user-learned),3170.0,0.1008,0.011385,5.0,,,,,,,False,False,False,False,False,False,,
1769279839094_mirror_reversal_83867_83870,2026-01-24T18:37:19.094000+00:00,1769279839094,Jan-1-31,mirror_reversal,83867_83870,FP,0.9,Slow (3.4s) = normal (user-learned),3421.0,0.1008,0.01118,3.0,,,,,,,False,False,False,False,False,False,,
1767831341929_mirror_reversal_341467_341471,2026-01-08T00:15:41.929000+00:00,1767831341929,Jan-1-31,mirror_reversal,341467_341471,FP,0.9,Slow (3.4s) = normal (user-learned),3414.0,0.0989,0.010964,4.0,,,,,,,False,False,False,False,False,False,,
1768220452565_mirror_reversal_118409_118412,2026-01-12T12:20:52.565000+00:00,1768220452565,Jan-1-31,mirror_reversal,118409_118412,FP,0.9,Slow (3.1s) = normal (user-learned),3081.0,0.1009,0.011009,3.0,,,,,,,False,False,False,False,False,False,,
1767567721021_mirror_reversal_198655_198658,2026-01-04T23:02:01.021000+00:00,1767567721021,Jan-1-31,mirror_reversal,198655_198658,FP,0.9,Slow (3.5s) = normal (user-learned),3500.0,0.3102,0.021864,3.0,,,,,,,False,False,False,False,False,False,,
1768841122997_mirror_reversal_181072_181074,2026-01-19T16:45:22.997000+00:00,1768841122997,Jan-1-31,mirror_reversal,181072_181074,FP,0.9,Slow (3.3s) = normal (user-learned),3331.0,0.0932,0.010728,2.0,,,,,,,False,False,False,False,False,False,,
1769660142723_mirror_reversal_335915_335918,2026-01-29T04:15:42.723000+00:00,1769660142723,Jan-1-31,mirror_reversal,335915_335918,FP,0.9,Slow (3.1s) = normal (user-learned),3124.0,0.088,0.011361,3.0,,,,,,,False,False,False,False,False,False,,
1768038997632_mirror_reversal_45118_45121,2026-01-10T09:56:37.632000+00:00,1768038997632,Jan-1-31,mirror_reversal,45118_45121,FP,0.9,Slow (3.4s) = normal (user-learned),3385.0,0.1009,0.01102,3.0,,,,,,,False,False,False,False,False,False,,
