event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps,amount_missing,reason_mentions_amount,amount_claimed_but_missing,reason_mentions_same_price,same_price_claim_but_large_diff,is_dup_key
1767305483974_mirror_reversal_111946_111947,2026-01-01T22:11:23.974000+00:00,1767305483974,Jan-1-31,mirror_reversal,111946_111947,TP,0.7,"Gap zone (2993ms) - closer to TP boundary, labeled wash",2993.0,0.1265,0.011294,1.0,,,,,,,False,False,False,False,False,False
1767305532653_mirror_reversal_112068_112070,2026-01-01T22:12:12.653000+00:00,1767305532653,Jan-1-31,mirror_reversal,112068_112070,TP,0.7,"Gap zone (2946ms) - closer to TP boundary, labeled wash",2946.0,0.1265,0.011294,2.0,,,,,,,False,False,False,False,False,False
1767305791199_mirror_reversal_112701_112703,2026-01-01T22:16:31.199000+00:00,1767305791199,Jan-1-31,mirror_reversal,112701_112703,TP,0.85,Under 2.9s (2928ms) = wash (user-learned),2928.0,0.0738,0.011297,2.0,,,,,,,False,False,False,False,False,False
1767306100397_mirror_reversal_113282_113284,2026-01-01T22:21:40.397000+00:00,1767306100397,Jan-1-31,mirror_reversal,113282_113284,TP,0.85,Under 2.9s (2858ms) = wash (user-learned),2858.0,0.0805,0.011301,2.0,,,,,,,False,False,False,False,False,False
1767306223102_mirror_reversal_113391_113392,2026-01-01T22:23:43.102000+00:00,1767306223102,Jan-1-31,mirror_reversal,113391_113392,TP,0.85,Under 2.9s (2931ms) = wash (user-learned),2931.0,0.0885,0.0113,1.0,,,,,,,False,False,False,False,False,False
1767306296780_mirror_reversal_113659_113660,2026-01-01T22:24:56.780000+00:00,1767306296780,Jan-1-31,mirror_reversal,113659_113660,TP,0.7,"Gap zone (2967ms) - closer to TP boundary, labeled wash",2967.0,0.0886,0.011295,1.0,,,,,,,False,False,False,False,False,False
1767311103054_mirror_reversal_130448_130451,2026-01-01T23:45:03.054000+00:00,1767311103054,Jan-1-31,mirror_reversal,130448_130451,TP,0.7,"Gap zone (2985ms) - closer to TP boundary, labeled wash",2985.0,0.7822,0.450018,3.0,,,,,,,False,False,False,False,False,False
1767325296421_mirror_reversal_181257_181260,2026-01-02T03:41:36.421000+00:00,1767325296421,Jan-1-31,mirror_reversal,181257_181260,TP,0.85,Under 2.9s (2915ms) = wash (user-learned),2915.0,0.0867,0.011227,3.0,,,,,,,False,False,False,False,False,False
1767327860351_mirror_reversal_192872_192874,2026-01-02T04:24:20.351000+00:00,1767327860351,Jan-1-31,mirror_reversal,192872_192874,TP,0.85,Under 2.9s (2888ms) = wash (user-learned),2888.0,0.2462,0.011262,2.0,,,,,,,False,False,False,False,False,False
1767328603673_mirror_reversal_195323_195324,2026-01-02T04:36:43.673000+00:00,1767328603673,Jan-1-31,mirror_reversal,195323_195324,TP,0.85,Under 2.9s (2923ms) = wash (user-learned),2923.0,0.1005,0.01126,1.0,,,,,,,False,False,False,False,False,False
1767245543392_mirror_reversal_4518_4521,2026-01-01T05:32:23.392000+00:00,1767245543392,Jan-1-31,mirror_reversal,4518_4521,FP,0.9,Slow (3.1s) = normal (user-learned),3054.0,0.0999,0.011402,3.0,,,,,,,False,False,False,False,False,False
1767261836721_mirror_reversal_26177_26178,2026-01-01T10:03:56.721000+00:00,1767261836721,Jan-1-31,mirror_reversal,26177_26178,FP,0.9,Slow (3.0s) = normal (user-learned),3002.0,0.1007,0.011379,1.0,,,,,,,False,False,False,False,False,False
